,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,title,variety,winery
4079,4079,US,"Rounded by small amounts of Merlot, Malbec and Petit Verdot, this Cab is earthy and lean on entry, before developing in the glass into juicy dark cherry and leathery notes. Smooth, integrated oak and tannin leave an impression in terms of texture, with a persistence of tannin on the finish.",,90,53.0,California,Napa Valley,Napa,Stags' Leap Winery 2012 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Stags' Leap Winery
18770,18770,Italy,"A blend of 70% Chardonnay and 30% Pinot Nero, this offers aromas that recall beeswax, pressed white flowers and peach. The palate offers ripe yellow apple, pineapple, citrus and a note of toasted walnut alongside bright acidity and firm, vivacious bubbles.",Cru Perdu Millesimato,88,45.0,Lombardy,Franciacorta,,Castello Bonomi 2008 Cru Perdu Millesimato Sparkling (Franciacorta),Sparkling Blend,Castello Bonomi
38755,38755,Spain,"This firm but approachable Toro opens with rich, raisiny aromas that include integrated oak and cassis. There's some scratch and tannic bite to the palate, but not enough to make this too harsh. Flavors of loamy, rooty black fruits, chocolate and coffee finish long. Drink through 2017.",Crianza,91,16.0,Northern Spain,Toro,,Muruve 2010 Crianza  (Toro),Tinta de Toro,Muruve
117111,117111,France,"This is a rich and rounded wine, full of yellow fruits that shine through the tense texture. It is ripe, showing minerality as well as tropical fruits and red apples. The wine is going to age relatively quickly, so drink from 2019.",Les Preuses Grand Cru,93,91.0,Burgundy,Chablis,,Chanson Père et Fils 2013 Les Preuses Grand Cru  (Chablis),Chardonnay,Chanson Père et Fils
121178,121178,US,"Coming from 17-year-old vines, this is a one-of-a-kind wine in the state, seeing no new oak and released earlier than most whites. Light but alluring aromas of fresh herb, sage, flower and raspberry lead to ultra-pure red-fruit flavors. It's delightful on its own but put it on the dinner table to see it truly shine.",Copeland Vineyard,90,28.0,Washington,Rattlesnake Hills,Columbia Valley,Savage Grace 2016 Copeland Vineyard Cabernet Franc (Rattlesnake Hills),Cabernet Franc,Savage Grace
19031,19031,France,"This is a cool wine, with acidity and citrus fruits well in evidence. It comes from one of the higher premier-cru vineyards, giving a crisp and textured wine even in this warm vintage. It needs time. Drink from 2020.",Goutte d'Or Premier Cru,93,90.0,Burgundy,Meursault,,Louis Latour 2015 Goutte d'Or Premier Cru  (Meursault),Chardonnay,Louis Latour
61698,61698,France,"This is very floral and fruity--almost to the point of being candied and artificial--with prominent flavors of cherries and bubble gum, yet finishing dry. A decent summertime quaff.",,83,12.0,Provence,Côtes de Provence,,Domaine Houchart 2008 Rosé (Côtes de Provence),Rosé,Domaine Houchart
33192,33192,US,"As always, the historic winery produces a nuanced, restrained style, with a subdued nose of berries and balsamic reduction. It's light and bright on the palate, with chicory and woody tones and medium-ripe cherry fruit, a perfect partner to varied foods.",Côtes de Tablas Estate Grown & Bottled,90,35.0,California,Paso Robles,Central Coast,Tablas Creek 2012 Côtes de Tablas Estate Grown & Bottled Red (Paso Robles),Rhône-style Red Blend,Tablas Creek
100016,100016,France,"Jaboulet's view of its most famous wine seems to have changed. Although the concentrated, dense tannins and big black fruit flavors are still there, it has lost the huge brooding presence of past vintages, and now has a veneer of sophistication with superripe fruit, plums and dark jam tastes. Whether this 1999 will age as well as older vintages remains to be seen, but it will certainly be ready to drink sooner.",La Chapelle,94,131.0,Rhône Valley,Hermitage,,Paul Jaboulet Aîné 1999 La Chapelle  (Hermitage),Rhône-style Red Blend,Paul Jaboulet Aîné
1178,1178,Argentina,"Aromas of blackberry and briar patch expand to include violet notes. In the mouth, there's pulpy weight to the fruit and rubbery tannins for framing. Rugged but generic black-fruit flavors finish with toasty darkness and some burn.",Reserve Estate Grown,88,19.0,Mendoza Province,Valle de Uco,,Zolo 2014 Reserve Estate Grown Cabernet Sauvignon (Valle de Uco),Cabernet Sauvignon,Zolo
79431,79431,US,"This is locked up tight upon opening; plan on giving it a good couple of hours in the decanter. Peppery and firm, the compact berry, cherry and plum fruit shows a touch of leather in the nose. The addition of Cabernet seems to mute the brightness of the Syrah.",Aix,89,34.0,Washington,Red Mountain,Columbia Valley,Doyenne 2007 Aix Red (Red Mountain),Red Blend,Doyenne
75456,75456,US,"An elegant wine, with nicely framed red berry fruit flavors. Hints of dried herbs and modest tannins put everything in balanced proportion.",Indian Wells,88,18.0,Washington,Columbia Valley (WA),Columbia Valley,Chateau Ste. Michelle 2009 Indian Wells Merlot (Columbia Valley (WA)),Merlot,Chateau Ste. Michelle
100262,100262,US,"Distinctive, artisanal and sourced from a spectacular site, this was fermented in oak and barrel aged. The hock bottle indicates the Alsatian style, and the wine inside is both powerful and  sturdy, with supple, generous flavors of stone fruits running into light tropicality.",Vista Hills,93,30.0,Oregon,Dundee Hills,Willamette Valley,Aubichon Cellars 2012 Vista Hills Pinot Gris (Dundee Hills),Pinot Gris,Aubichon Cellars
62884,62884,US,"Tastes sweeter and fruitier than the 2009, which was dry, so if you like orange marmalade, pineapple tart and vanilla cookie sugariness in your Sauvignon Blancs, it's for you.",Les Pionniers,86,40.0,California,Sonoma County,Sonoma,Captûre 2010 Les Pionniers Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Captûre
42829,42829,France,"Hints of smoky bacon and wood are now giving this wine some maturity. It has firm tannins still, but also a rich texture, with some red berries still present.",Cuvée de la Lure,89,20.0,Beaujolais,Moulin-à-Vent,,Château de la Terrière 2008 Cuvée de la Lure  (Moulin-à-Vent),Gamay,Château de la Terrière
120595,120595,France,"With great richness, almost opulence, great ripe red fruits are folded into a powerful dark structure. The tannins are right up front, long-lasting and very structured. The final acidity offers freshness to a wine that will need aging.",Les Beaux-Monts,94,236.0,Burgundy,Vosne-Romanée,,Domaine Dujac 2009 Les Beaux-Monts  (Vosne-Romanée),Pinot Noir,Domaine Dujac
36476,36476,US,"Easygoing and soft in texture, this medium-bodied red wine has fruity, jammy aromas and flavors, and blends in a little black pepper for interest.",Schatz Family Vineyard,85,13.0,California,California,California Other,Chime NV Schatz Family Vineyard Red (California),Red Blend,Chime
79767,79767,US,"This is a big, rich, oaky Chardonnay. It's a little heavy with all that caramel and buttered toast, but acidity brightens the pineapple and peach flavors, and the finish is clean and spicy.",Réserve Spéciale Unfined,87,40.0,California,Sonoma County,Sonoma,Arrowood 2007 Réserve Spéciale Unfined Chardonnay (Sonoma County),Chardonnay,Arrowood
54864,54864,US,"What a fine Syrah this is. It's the color of midnight on a moonless night, with just a hint of ruby purple at the rim. The aromatics are closed, but provide tantalizing hints of cedar, jam and pepper. It's in the mouth that this young wine shows its stuff, erupting with sweet chocolate, intensely ripe blackberries and savory smoked meat. The tannins close in on the finish, suggesting that the wine needs time. Don't even think of popping the cork before 2016.",Estate Grown,94,42.0,California,Oakville,Napa,Turnbull 2010 Estate Grown Syrah (Oakville),Syrah,Turnbull
80407,80407,Italy,"Bright, generous and straightforward, Soave Classico San Michele makes a perfect pairing partner to white asparagus or spring peas. The wine delivers pretty aromas of honey, peach and grapefruit.",San Michele,87,17.0,Veneto,Soave Classico,,Ca' Rugate 2010 San Michele  (Soave Classico),Garganega,Ca' Rugate
60705,60705,US,"The spicy aromas resemble black pepper and anise. Fruit flavors are ripe and delicious, and the creamy texture seems to melt in the mouth. This wine offers lots of personality and very good balance.",Votre Santé,89,14.0,California,California,California Other,Francis Ford Coppola 2013 Votre Santé Pinot Noir (California),Pinot Noir,Francis Ford Coppola
104761,104761,US,"This hearty blend of 35% Cabernet Sauvignon, 27% Cabernet Franc, 24% Merlot and 14% Petit Verdot offers blackberry, smoked beef, vanilla, cola and anise scents on the nose. The palate is tightly wound, its boysenberry fruit and dark soil minerality leading into a finish laced with licorice spice.",Lineage The Chairman Series,88,50.0,California,Santa Ynez Valley,Central Coast,Firestone 2013 Lineage The Chairman Series Red (Santa Ynez Valley),Bordeaux-style Red Blend,Firestone
10232,10232,US,"This dry, single-vineyard bottling is extremely aromatic, as only Gewürztraminer can be. The ripe lychee and grapefruit is subsumed in a cloud of baby powder. It's quite dry, and for those that want a supremely floral varietal expression of this grape, this is your go-to bottle.",Temperance Hill Vineyard,91,19.0,Oregon,Oregon,Oregon Other,Lumos 2014 Temperance Hill Vineyard Gewürztraminer (Oregon),Gewürztraminer,Lumos
71943,71943,Italy,"Made of 70% Sangiovese, 20% Cabernet Sauvignon and 10% Merlot, this offers black currant and vanilla aromas. The dense, approachable palate delivers ripe black plum and toasty tobacco flavors, pulled taut by firm tannins. Drink through 2019.",Il Circo Rosso Riserva,89,30.0,Tuscany,Carmignano,,Pratesi 2013 Il Circo Rosso Riserva  (Carmignano),Red Blend,Pratesi
38020,38020,US,"Ultra-rich, with chocolate-infused dark berry flavors, splashed with cassis and accented with smoky new oak. Although the wine, which is 100% Cabernet, is totally dry, it's soft, which accentuates the alcohol, making it taste a bit hot and unbalanced.",Cloudy's Vineyard,87,100.0,California,Napa Valley,Napa,Janzen 2006 Cloudy's Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Janzen
23672,23672,US,"This Chardonnay is almost Chablisian—it's bone dry, bristling with acidity, and modest in alcohol. There's a lick of minerality to the lemon peel, apricot and buttered toast flavors that makes the wine tangy. It's ready to drink now.",Bald Mountain Vineyard,89,32.0,California,Ben Lomond Mountain,Central Coast,Sante Arcangeli 2012 Bald Mountain Vineyard Chardonnay (Ben Lomond Mountain),Chardonnay,Sante Arcangeli
114542,114542,Spain,"With its patented blend of ripe plum and berry aromas matched against notes of wood smoke, herbs and leather, this is ripped and focused in the mouth, with strong but manageable tannins. Flavors of buttery oak, schist, blackberry and cassis culminate with mocha, vanilla and an overall sense of greatness. Drink from 2017 through 2025.",,95,90.0,Catalonia,Priorat,,Clos Mogador 2012 Red (Priorat),Red Blend,Clos Mogador
84593,84593,US,"The first impression is of steak tartare, with blood and a saline, savory character. There's a floral, violet topnote, and streaks of black olive, orange peel, umami and brine. Tight, toned and muscular, it's set in a compact, perfectly proportioned frame that requires many hours of breathing to open fully.",La Paciencia Vineyard,94,65.0,Oregon,Walla Walla Valley (OR),Oregon Other,No Girls 2011 La Paciencia Vineyard Syrah (Walla Walla Valley (OR)),Syrah,No Girls
8923,8923,US,"The descriptor Deep Red perfectly captures the essence of this blend of Petite Sirah, Zinfandel, Syrah and Grenache. It's rich and full-bodied, with expressive, complex red wine flavors of red and black currants, spiced red plums, crushed pepper and hints of dark chocolate and anise. The tannic structure is wonderfully soft and intricate. Drink this beautiful wine now and for the next several years.",Deep Red,92,40.0,California,Mendocino,,Paul Dolan 2005 Deep Red Red (Mendocino),Red Blend,Paul Dolan
120228,120228,France,"The 91-acre Grézels vineyard surrounds a 12th-century castle. This revived historic vineyard has produced a well-structured wine that is rich, despite its modest alcohol. It is dense with tannins and black fruits that are developing into a smoother texture. The wine needs to age further, so drink from 2017.",Château de Grézels Prestige,90,21.0,Southwest France,Cahors,,Château Saint-Didier-Parnac 2014 Château de Grézels Prestige Malbec-Merlot (Cahors),Malbec-Merlot,Château Saint-Didier-Parnac
51440,51440,US,"This blend is 74% Merlot, 14% Cabernet Sauvignon, 7% Cabernet Franc and 4% Petit Verdot. Locked up vanilla, herb and dark fruit aromas lead to high-octane dark-fruit flavors, with the heat providing some distraction.",BFM,88,53.0,Washington,Columbia Valley (WA),Columbia Valley,Dusted Valley 2012 BFM Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Dusted Valley
87408,87408,Italy,"Floral scents of iris and rose meld together with wild berry, chopped mint and a balsamic note. The elegantly structured, full-bodied palate presents juicy black cherry, crushed raspberry, white pepper and licorice alongside firm, fine-grained tannins. Drink 2018–2025.",,94,60.0,Piedmont,Barolo,,Pietro Rinaldi 2012  Barolo,Nebbiolo,Pietro Rinaldi
45624,45624,France,"Finely balanced, crisp and clean, a pure delight. The wine has a delicious swathe of fresh strawberry and pink grapefruit, in a style that is wine-y, ready for food. The final acidity is soft, but always fresh.",Brut Rosé,91,50.0,Champagne,Champagne,,Duval-Leroy NV Brut Rosé  (Champagne),Champagne Blend,Duval-Leroy
